epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,468.309,0.41633,0.42806,0.16753,0.00151,0.11222,0.99053,0.99695,0.99396,0.93061,0.99053,0.99695,0.99396,0.93229,0.3571,0.41259,0.13399,0.00231,0,0.0016436,0.0016436,0.0016436
29,484.71,0.39326,0.41892,0.15874,0.00151,0.10963,0.9889,0.99642,0.99461,0.91727,0.9889,0.99642,0.99461,0.92603,0.40251,0.42998,0.14994,0.00249,0,0.0016304,0.0016304,0.0016304
30,501.33,0.40008,0.4363,0.1621,0.0014,0.1127,0.99396,0.99523,0.9947,0.89534,0.99396,0.99523,0.9947,0.93658,0.47057,0.41593,0.15598,0.00348,0,0.0016172,0.0016172,0.0016172
31,517.673,0.3952,0.44007,0.15969,0.00144,0.1158,0.99402,0.9899,0.99421,0.93285,0.99402,0.9899,0.99421,0.93397,0.35043,0.42029,0.12841,0.00208,0,0.001604,0.001604,0.001604
32,533.852,0.38916,0.44231,0.16544,0.00137,0.10946,0.99053,0.99734,0.99413,0.90174,0.99053,0.99734,0.99413,0.92517,0.44998,0.422,0.15102,0.00304,0,0.0015908,0.0015908,0.0015908
33,550.01,0.39022,0.42073,0.16259,0.00136,0.11681,0.99187,0.99285,0.99395,0.92819,0.99187,0.99285,0.99395,0.92791,0.3608,0.41834,0.13861,0.00236,0,0.0015776,0.0015776,0.0015776
34,566.511,0.40162,0.44601,0.17234,0.00139,0.12487,0.99204,0.99166,0.99409,0.92375,0.99204,0.99166,0.99409,0.92509,0.38174,0.42977,0.13733,0.00278,0,0.0015644,0.0015644,0.0015644
35,582.655,0.38134,0.44983,0.16492,0.00139,0.10994,0.98812,0.99122,0.99397,0.9255,0.98812,0.99122,0.99397,0.92709,0.37935,0.42751,0.14246,0.00247,0,0.0015512,0.0015512,0.0015512
36,599.095,0.38572,0.43545,0.14767,0.00142,0.10873,0.99282,0.99762,0.99425,0.94813,0.99282,0.99762,0.99425,0.92555,0.31821,0.4166,0.11807,0.00202,0,0.001538,0.001538,0.001538
37,615.368,0.39785,0.44966,0.1585,0.00141,0.11929,0.99521,0.99074,0.99483,0.93131,0.99521,0.99074,0.99483,0.93033,0.3581,0.41449,0.12503,0.00233,0,0.0015248,0.0015248,0.0015248
38,631.584,0.38943,0.43486,0.15986,0.00138,0.13304,0.98927,0.99166,0.99476,0.94944,0.98927,0.99166,0.99476,0.92607,0.31014,0.42825,0.11934,0.00193,0,0.0015116,0.0015116,0.0015116
39,648.188,0.37259,0.4328,0.14411,0.00134,0.10904,0.99007,0.99404,0.9938,0.92119,0.99007,0.99404,0.9938,0.92329,0.38194,0.41594,0.13515,0.00246,0,0.0014984,0.0014984,0.0014984
40,664.618,0.38831,0.42616,0.15388,0.00138,0.13095,0.99643,0.99737,0.99429,0.93697,0.99643,0.99737,0.99429,0.92464,0.34094,0.42215,0.12201,0.00213,0,0.0014852,0.0014852,0.0014852
41,681.044,0.38966,0.42845,0.15787,0.00143,0.10339,0.99139,0.99523,0.99448,0.92751,0.99139,0.99523,0.99448,0.93233,0.35745,0.42038,0.13101,0.0024,0,0.001472,0.001472,0.001472
42,697.466,0.38295,0.42263,0.15126,0.0014,0.1154,0.9923,0.99404,0.99427,0.92792,0.9923,0.99404,0.99427,0.93244,0.38084,0.40928,0.13391,0.00255,0,0.0014588,0.0014588,0.0014588
43,713.606,0.38055,0.4373,0.14895,0.00138,0.11885,0.98814,0.99273,0.99475,0.94964,0.98814,0.99273,0.99475,0.93254,0.3093,0.41558,0.12549,0.00192,0,0.0014456,0.0014456,0.0014456
44,730.03,0.37761,0.42473,0.14637,0.00133,0.11544,0.98116,0.99325,0.99397,0.91001,0.98116,0.99325,0.99397,0.9294,0.41514,0.4225,0.15168,0.00247,0,0.0014324,0.0014324,0.0014324
45,746.25,0.38689,0.43277,0.15656,0.00136,0.11555,0.99705,0.99404,0.99416,0.92829,0.99705,0.99404,0.99416,0.92895,0.37491,0.41321,0.12476,0.00245,0,0.0014192,0.0014192,0.0014192
46,762.344,0.36833,0.41578,0.14176,0.00129,0.11073,0.99405,0.996,0.9946,0.95531,0.99405,0.996,0.9946,0.93099,0.2947,0.414,0.10446,0.00188,0,0.001406,0.001406,0.001406
47,778.912,0.37627,0.44044,0.14116,0.00137,0.1115,0.99286,0.99438,0.99452,0.94273,0.99286,0.99438,0.99452,0.93479,0.33335,0.41357,0.11442,0.00216,0,0.0013928,0.0013928,0.0013928
48,795.221,0.37447,0.43043,0.14067,0.00126,0.10232,0.99643,0.99753,0.99426,0.94184,0.99643,0.99753,0.99426,0.93199,0.33706,0.40991,0.11246,0.00221,0,0.0013796,0.0013796,0.0013796
49,811.451,0.36364,0.42794,0.13208,0.00128,0.10784,0.99621,0.99881,0.99457,0.92611,0.99621,0.99881,0.99457,0.92761,0.36829,0.40817,0.11572,0.00231,0,0.0013664,0.0013664,0.0013664
50,827.694,0.38188,0.43192,0.14701,0.00131,0.1059,0.9988,0.99024,0.99463,0.94795,0.9988,0.99024,0.99463,0.93301,0.31629,0.41306,0.11333,0.00196,0,0.0013532,0.0013532,0.0013532
51,844.33,0.36739,0.42542,0.1373,0.00132,0.10264,0.98299,0.98331,0.99382,0.9392,0.98299,0.98331,0.99382,0.93465,0.33928,0.41077,0.13381,0.00216,0,0.00134,0.00134,0.00134
52,860.6,0.36832,0.41105,0.13732,0.00124,0.0999,0.99643,0.99821,0.99411,0.92749,0.99643,0.99821,0.99411,0.93882,0.36387,0.40498,0.11891,0.00238,0,0.0013268,0.0013268,0.0013268
53,876.76,0.37143,0.40771,0.13947,0.00138,0.11026,0.99611,0.99762,0.99446,0.94098,0.99611,0.99762,0.99446,0.93586,0.33701,0.40803,0.11304,0.00216,0,0.0013136,0.0013136,0.0013136
54,893.084,0.37557,0.424,0.13435,0.00129,0.10808,0.99787,0.99881,0.99452,0.94984,0.99787,0.99881,0.99452,0.93283,0.30989,0.41204,0.1068,0.00196,0,0.0013004,0.0013004,0.0013004
55,909.541,0.35987,0.42231,0.14005,0.00126,0.12485,0.99149,0.99523,0.99448,0.94465,0.99149,0.99523,0.99448,0.92787,0.32211,0.41065,0.12113,0.002,0,0.0012872,0.0012872,0.0012872
56,925.956,0.37192,0.43806,0.14682,0.00131,0.11269,0.98727,0.99166,0.99409,0.92396,0.98727,0.99166,0.99409,0.92337,0.3908,0.41287,0.14191,0.00258,0,0.001274,0.001274,0.001274
57,942.37,0.38198,0.43859,0.15247,0.00137,0.11381,0.99286,0.99505,0.99458,0.91331,0.99286,0.99505,0.99458,0.94301,0.39506,0.41785,0.13252,0.00274,0,0.0012608,0.0012608,0.0012608
58,958.907,0.38762,0.4149,0.14443,0.00132,0.10474,0.99639,0.99762,0.99443,0.93881,0.99639,0.99762,0.99443,0.9344,0.34418,0.41464,0.12113,0.00213,0,0.0012476,0.0012476,0.0012476
59,975.169,0.35804,0.41371,0.13098,0.00129,0.10984,0.99523,0.99439,0.99417,0.95433,0.99523,0.99439,0.99417,0.93191,0.29938,0.41693,0.10373,0.00185,0,0.0012344,0.0012344,0.0012344
60,991.604,0.37805,0.4278,0.14083,0.00131,0.10332,0.99289,0.99933,0.99412,0.96103,0.99289,0.99933,0.99412,0.93059,0.28978,0.42,0.10118,0.0018,0,0.0012212,0.0012212,0.0012212
61,1007.94,0.37185,0.43532,0.13104,0.00125,0.1071,0.99529,0.99404,0.99401,0.95412,0.99529,0.99404,0.99401,0.93475,0.30055,0.40711,0.10386,0.0019,0,0.001208,0.001208,0.001208
62,1024.58,0.35954,0.42094,0.13525,0.00125,0.11094,0.99642,0.99516,0.99428,0.95436,0.99642,0.99516,0.99428,0.93222,0.2999,0.41132,0.10649,0.00186,0,0.0011948,0.0011948,0.0011948
63,1041.11,0.37038,0.43925,0.13911,0.00132,0.1072,0.99051,0.99476,0.99423,0.95082,0.99051,0.99476,0.99423,0.93153,0.30019,0.41853,0.11512,0.00186,0,0.0011816,0.0011816,0.0011816
64,1057.38,0.36012,0.41572,0.13885,0.00125,0.11904,0.97844,0.99404,0.99363,0.94933,0.97844,0.99404,0.99363,0.92945,0.31083,0.40929,0.12636,0.00197,0,0.0011684,0.0011684,0.0011684
65,1073.62,0.35876,0.42292,0.14166,0.00122,0.12318,0.98937,0.99865,0.99431,0.94424,0.98937,0.99865,0.99431,0.93136,0.34077,0.42004,0.11652,0.00215,0,0.0011552,0.0011552,0.0011552
66,1090.16,0.36574,0.43309,0.14273,0.00129,0.11005,0.99408,0.99992,0.99463,0.93944,0.99408,0.99992,0.99463,0.93896,0.32971,0.40422,0.11019,0.00205,0,0.001142,0.001142,0.001142
67,1106.41,0.38386,0.42848,0.14253,0.00136,0.11722,0.98464,0.99323,0.99455,0.93531,0.98464,0.99323,0.99455,0.93129,0.3533,0.41817,0.1313,0.00225,0,0.0011288,0.0011288,0.0011288
68,1122.91,0.36476,0.42615,0.1346,0.00127,0.13349,0.99276,0.99881,0.99483,0.94703,0.99276,0.99881,0.99483,0.93346,0.32023,0.41087,0.10688,0.00199,0,0.0011156,0.0011156,0.0011156
