epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,431.661,0.44826,0.41037,0.19567,0.00155,0.1265,0.98712,0.99404,0.9937,0.93709,0.98712,0.99404,0.9937,0.88808,0.34646,0.40584,0.13172,0.00204,0,0.0014654,0.0014654,0.0014654
29,447.054,0.45014,0.40505,0.18307,0.00164,0.11183,0.99067,0.98451,0.99379,0.92876,0.99067,0.98451,0.99379,0.89055,0.3676,0.3914,0.13524,0.00223,0,0.0014456,0.0014456,0.0014456
30,462.328,0.48513,0.41544,0.19724,0.00162,0.11328,0.99312,0.97616,0.99376,0.88343,0.99312,0.97616,0.99376,0.91903,0.51681,0.39404,0.17697,0.00335,0,0.0014258,0.0014258,0.0014258
31,477.39,0.44473,0.42449,0.17712,0.00157,0.11835,0.99187,0.99523,0.99428,0.92526,0.99187,0.99523,0.99428,0.8885,0.37593,0.39161,0.13126,0.00238,0,0.001406,0.001406,0.001406
32,492.652,0.44369,0.42313,0.18632,0.00149,0.12016,0.98054,0.99523,0.99401,0.9158,0.98054,0.99523,0.99401,0.9005,0.40132,0.39107,0.14508,0.00256,0,0.0013862,0.0013862,0.0013862
33,507.911,0.4543,0.40019,0.18633,0.00152,0.1145,0.99149,0.97259,0.99406,0.94279,0.99149,0.97259,0.99406,0.8959,0.32785,0.40208,0.14375,0.00194,0,0.0013664,0.0013664,0.0013664
34,523.232,0.45576,0.42231,0.18832,0.0015,0.11364,0.99161,0.98559,0.99418,0.9157,0.99161,0.98559,0.99418,0.90471,0.40051,0.38944,0.14423,0.0025,0,0.0013466,0.0013466,0.0013466
35,538.599,0.44127,0.40232,0.17913,0.00155,0.11886,0.9904,0.98399,0.99357,0.93095,0.9904,0.98399,0.99357,0.90501,0.35291,0.38992,0.1353,0.00223,0,0.0013268,0.0013268,0.0013268
36,553.743,0.41756,0.39267,0.16423,0.00147,0.11857,0.9834,0.98927,0.99425,0.94953,0.9834,0.98927,0.99425,0.89867,0.31825,0.38755,0.1254,0.00192,0,0.001307,0.001307,0.001307
37,568.926,0.44413,0.41005,0.18341,0.00149,0.1267,0.99164,0.98947,0.99447,0.93894,0.99164,0.98947,0.99447,0.90066,0.33814,0.39075,0.12516,0.00202,0,0.0012872,0.0012872,0.0012872
38,584.008,0.46263,0.41105,0.18707,0.00158,0.12611,0.99166,0.99226,0.99402,0.95019,0.99166,0.99226,0.99402,0.90024,0.32132,0.4116,0.11742,0.00193,0,0.0012674,0.0012674,0.0012674
39,599.283,0.4322,0.41299,0.17324,0.00151,0.13436,0.99281,0.98711,0.9939,0.90337,0.99281,0.98711,0.9939,0.91075,0.42635,0.38907,0.14436,0.00274,0,0.0012476,0.0012476,0.0012476
40,614.606,0.43309,0.4101,0.17641,0.00145,0.11277,0.98589,0.99404,0.99399,0.94046,0.98589,0.99404,0.99399,0.90493,0.34751,0.40141,0.12953,0.0021,0,0.0012278,0.0012278,0.0012278
41,629.62,0.43558,0.40323,0.181,0.00152,0.12122,0.99369,0.99762,0.9939,0.91934,0.99369,0.99762,0.9939,0.88653,0.3889,0.38965,0.13162,0.0024,0,0.001208,0.001208,0.001208
42,644.636,0.42494,0.38863,0.17627,0.00145,0.12243,0.98699,0.995,0.99404,0.93868,0.98699,0.995,0.99404,0.89915,0.34589,0.3802,0.12953,0.00212,0,0.0011882,0.0011882,0.0011882
43,659.681,0.42066,0.40499,0.16054,0.00146,0.11686,0.98643,0.99523,0.9937,0.93298,0.98643,0.99523,0.9937,0.91228,0.35466,0.38251,0.13151,0.00206,0,0.0011684,0.0011684,0.0011684
44,674.735,0.42778,0.3945,0.17347,0.00144,0.12159,0.98924,0.99285,0.99369,0.94794,0.98924,0.99285,0.99369,0.90069,0.31382,0.38222,0.1204,0.00187,0,0.0011486,0.0011486,0.0011486
