epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,1235.01,0.41485,0.41759,0.1599,0.00148,0.11162,0.98923,0.98549,0.99394,0.94737,0.98923,0.98549,0.99394,0.92088,0.32658,0.42879,0.14822,0.00199,0,0.0016436,0.0016436,0.0016436
29,1279.64,0.43481,0.41738,0.15643,0.00167,0.11096,0.98691,0.98817,0.99442,0.91408,0.98691,0.98817,0.99442,0.91219,0.41232,0.44726,0.14554,0.00276,0,0.0016304,0.0016304,0.0016304
30,1322.95,0.44084,0.43294,0.16515,0.00157,0.11611,0.98882,0.99642,0.9945,0.94145,0.98882,0.99642,0.9945,0.91796,0.33505,0.40503,0.11809,0.00205,0,0.0016172,0.0016172,0.0016172
31,1367.41,0.39551,0.42374,0.14251,0.00144,0.10828,0.98985,0.99285,0.99419,0.93492,0.98985,0.99285,0.99419,0.91689,0.34582,0.40052,0.12191,0.00204,0,0.001604,0.001604,0.001604
32,1410.11,0.42544,0.43939,0.16258,0.00149,0.12325,0.98932,0.99322,0.99408,0.92185,0.98932,0.99322,0.99408,0.91389,0.39141,0.42492,0.14065,0.00243,0,0.0015908,0.0015908,0.0015908
33,1455.46,0.43612,0.45799,0.17125,0.00151,0.13527,0.99042,0.9857,0.99445,0.94197,0.99042,0.9857,0.99445,0.91581,0.34477,0.45001,0.13135,0.00208,0,0.0015776,0.0015776,0.0015776
34,1499.54,0.43153,0.4544,0.16886,0.00148,0.12757,0.99144,0.96674,0.99293,0.92049,0.98862,0.97139,0.9931,0.91286,0.40373,0.46847,0.17995,0.0024,0,0.0015644,0.0015644,0.0015644
35,1542.93,0.43585,0.45231,0.15349,0.00159,0.1321,0.98754,0.99046,0.99386,0.93259,0.98754,0.99046,0.99386,0.91803,0.36578,0.42382,0.12752,0.0022,0,0.0015512,0.0015512,0.0015512
36,1586.28,0.40769,0.42799,0.15356,0.00149,0.11863,0.98452,0.98524,0.99387,0.93321,0.98452,0.98524,0.99387,0.92452,0.36314,0.41944,0.1435,0.0022,0,0.001538,0.001538,0.001538
37,1628.62,0.42522,0.44461,0.15841,0.00151,0.11849,0.98546,0.98808,0.99363,0.93787,0.98546,0.98808,0.99363,0.91554,0.33997,0.42291,0.12648,0.00209,0,0.0015248,0.0015248,0.0015248
38,1671.33,0.42855,0.43525,0.16364,0.00154,0.11779,0.99165,0.99035,0.994,0.95454,0.99165,0.99035,0.994,0.9246,0.30463,0.40875,0.12038,0.00183,0,0.0015116,0.0015116,0.0015116
39,1717.91,0.40279,0.42613,0.14041,0.00145,0.11668,0.9892,0.99642,0.99411,0.94852,0.9892,0.99642,0.99411,0.92472,0.32345,0.4082,0.11271,0.00195,0,0.0014984,0.0014984,0.0014984
40,1762.15,0.42141,0.42559,0.15655,0.0015,0.10776,0.98796,0.99881,0.99436,0.94473,0.98796,0.99881,0.99436,0.9265,0.33221,0.40853,0.11187,0.002,0,0.0014852,0.0014852,0.0014852
41,1804.89,0.41352,0.42916,0.15355,0.00153,0.12596,0.98393,0.98927,0.99376,0.9398,0.98393,0.98927,0.99376,0.90287,0.36177,0.46537,0.13941,0.00213,0,0.001472,0.001472,0.001472
42,1849.46,0.42692,0.43791,0.1734,0.00156,0.15657,0.98179,0.83551,0.89055,0.79925,0.98179,0.83551,0.89915,0.78474,0.50769,0.69215,0.84502,0.0033,0,0.0014588,0.0014588,0.0014588
43,1891.73,0.43176,0.45119,0.16494,0.00156,0.12953,0.9884,0.99166,0.99446,0.91837,0.9884,0.99166,0.99446,0.90517,0.3951,0.4266,0.13336,0.0025,0,0.0014456,0.0014456,0.0014456
44,1933.79,0.42681,0.42455,0.1604,0.00153,0.12366,0.98955,0.99166,0.9943,0.94807,0.98955,0.99166,0.9943,0.91559,0.32559,0.40949,0.11795,0.00193,0,0.0014324,0.0014324,0.0014324
45,1978.31,0.42051,0.4309,0.15634,0.00146,0.11842,0.99122,0.99881,0.99414,0.94154,0.99122,0.99881,0.99414,0.92308,0.33657,0.41167,0.11672,0.00211,0,0.0014192,0.0014192,0.0014192
46,2020.41,0.41068,0.42055,0.15295,0.00143,0.10645,0.99091,0.99523,0.99483,0.92298,0.99091,0.99523,0.99483,0.92597,0.38086,0.40746,0.12461,0.00235,0,0.001406,0.001406,0.001406
47,2062.32,0.42189,0.43281,0.14862,0.00152,0.11067,0.9905,0.99467,0.99478,0.94286,0.9905,0.99467,0.99478,0.92376,0.33508,0.40511,0.11585,0.00199,0,0.0013928,0.0013928,0.0013928
48,2109.94,0.40883,0.41916,0.14548,0.0014,0.10538,0.99571,0.99404,0.99411,0.94723,0.99571,0.99404,0.99411,0.91793,0.32581,0.39899,0.11062,0.00196,0,0.0013796,0.0013796,0.0013796
49,2153.79,0.39115,0.4237,0.14009,0.00137,0.10767,0.9973,0.98927,0.99414,0.952,0.9973,0.98927,0.99414,0.9138,0.32034,0.41796,0.11989,0.00193,0,0.0013664,0.0013664,0.0013664
50,2197.16,0.41239,0.41883,0.15111,0.00143,0.11512,0.99401,0.98929,0.99409,0.9496,0.99401,0.98929,0.99409,0.92244,0.32146,0.40179,0.11655,0.00197,0,0.0013532,0.0013532,0.0013532
51,2239.22,0.38563,0.41493,0.13913,0.00137,0.10472,0.99287,0.99632,0.99471,0.95351,0.99287,0.99632,0.99471,0.92315,0.29843,0.39899,0.10393,0.00182,0,0.00134,0.00134,0.00134
52,2283.28,0.3782,0.40191,0.13898,0.00129,0.10136,0.99507,0.99404,0.99437,0.95754,0.99507,0.99404,0.99437,0.92087,0.31682,0.40246,0.10513,0.00189,0,0.0013268,0.0013268,0.0013268
53,2326.51,0.38613,0.41011,0.13535,0.00141,0.109,0.98819,0.99689,0.99446,0.94874,0.98819,0.99689,0.99446,0.92638,0.33172,0.41425,0.11608,0.00202,0,0.0013136,0.0013136,0.0013136
54,2369.84,0.40509,0.4254,0.14757,0.00139,0.11689,0.99761,0.99393,0.99462,0.93197,0.99761,0.99393,0.99462,0.9232,0.35168,0.41965,0.11337,0.00214,0,0.0013004,0.0013004,0.0013004
55,2412.72,0.3973,0.41211,0.1464,0.00139,0.10498,0.9917,0.99627,0.99407,0.95026,0.9917,0.99627,0.99407,0.92111,0.3166,0.39705,0.11251,0.00195,0,0.0012872,0.0012872,0.0012872
56,2454.82,0.37751,0.41419,0.14395,0.00132,0.11029,0.99286,0.99523,0.99427,0.93865,0.99286,0.99523,0.99427,0.92187,0.34828,0.39875,0.11738,0.00214,0,0.001274,0.001274,0.001274
57,2498.89,0.38204,0.41494,0.14547,0.00135,0.1179,0.99727,0.99642,0.994,0.95128,0.99727,0.99642,0.994,0.91587,0.31862,0.42192,0.1061,0.00191,0,0.0012608,0.0012608,0.0012608
58,2542.96,0.38781,0.41091,0.14759,0.00132,0.12554,0.99379,0.99642,0.99382,0.94562,0.99379,0.99642,0.99382,0.92319,0.32118,0.41137,0.11091,0.0019,0,0.0012476,0.0012476,0.0012476
59,2587.32,0.39618,0.4062,0.13891,0.00144,0.11695,0.9906,0.99404,0.99382,0.94702,0.9906,0.99404,0.99382,0.91591,0.32318,0.41178,0.11336,0.00193,0,0.0012344,0.0012344,0.0012344
60,2633.13,0.38178,0.42054,0.13796,0.00132,0.10845,0.99287,0.99641,0.99432,0.94927,0.99287,0.99641,0.99432,0.91977,0.31866,0.39525,0.10857,0.00193,0,0.0012212,0.0012212,0.0012212
61,2675.53,0.39067,0.41944,0.13922,0.00133,0.11457,0.9929,0.99523,0.9938,0.95357,0.9929,0.99523,0.9938,0.9217,0.30719,0.40525,0.10571,0.00185,0,0.001208,0.001208,0.001208
62,2718.69,0.38052,0.41313,0.13958,0.00134,0.11428,0.99091,0.98927,0.99447,0.93977,0.99091,0.98927,0.99447,0.91666,0.33228,0.40636,0.11583,0.00203,0,0.0011948,0.0011948,0.0011948
63,2762.46,0.3826,0.4184,0.14163,0.00135,0.11131,0.99046,0.99038,0.99465,0.95362,0.99046,0.99038,0.99465,0.91819,0.30098,0.39674,0.115,0.00179,0,0.0011816,0.0011816,0.0011816
64,2806.49,0.35943,0.39326,0.13035,0.00127,0.1138,0.99255,0.99285,0.99434,0.95621,0.99255,0.99285,0.99434,0.92279,0.30239,0.39656,0.1079,0.00182,0,0.0011684,0.0011684,0.0011684
65,2848.66,0.36745,0.41004,0.13178,0.00125,0.10746,0.99583,0.99523,0.99467,0.96098,0.99583,0.99523,0.99467,0.92837,0.29387,0.39614,0.1012,0.00181,0,0.0011552,0.0011552,0.0011552
66,2893.34,0.36623,0.41087,0.12825,0.00129,0.10674,0.99288,0.99743,0.99446,0.95533,0.99288,0.99743,0.99446,0.92089,0.30848,0.39974,0.1079,0.00187,0,0.001142,0.001142,0.001142
67,2937.34,0.36898,0.40788,0.13541,0.00128,0.10928,0.99284,0.99122,0.9945,0.95768,0.99284,0.99122,0.9945,0.92603,0.30016,0.39711,0.10668,0.0018,0,0.0011288,0.0011288,0.0011288
68,2978.98,0.37191,0.41034,0.13363,0.00128,0.10219,0.99278,0.99166,0.99462,0.95654,0.99278,0.99166,0.99462,0.92333,0.30087,0.39007,0.10728,0.00183,0,0.0011156,0.0011156,0.0011156
69,3024.83,0.36937,0.41614,0.13371,0.00127,0.10005,0.98896,0.99523,0.99449,0.95729,0.98896,0.99523,0.99449,0.92767,0.30111,0.3965,0.10978,0.00179,0,0.0011024,0.0011024,0.0011024
70,3068.29,0.36142,0.402,0.12954,0.0013,0.09952,0.99168,0.99493,0.99467,0.96008,0.99168,0.99493,0.99467,0.93005,0.29997,0.39154,0.10644,0.00181,0,0.0010892,0.0010892,0.0010892
