epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,38.4811,0.68885,0.90412,3.45688,0.00253,2.96342,0.79657,0.84475,0.91743,0.76639,0.79657,0.84475,0.91743,0.80808,0.70103,0.60902,0.91574,0.00425,0,0.000658333,0.000658333,0.000658333
2,73.8747,0.69816,0.57315,0.53038,0.00281,0.28508,0.92768,0.87153,0.96701,0.7867,0.91026,0.882,0.96737,0.83953,0.81406,0.58588,0.58974,0.00559,0,0.00131626,0.00131626,0.00131626
3,108.787,0.64465,0.58395,0.34854,0.00256,0.20075,0.98877,0.9559,0.98736,0.82377,0.95171,0.91611,0.92382,0.71307,0.70401,4.16244,0.34349,0.00508,0,0.00196538,0.00196538,0.00196538
4,152.677,0.68039,0.70263,0.31577,0.00269,0.26525,0.98865,0.99046,0.99395,0.83819,0.98865,0.99046,0.99395,0.85725,0.65292,0.67131,0.22495,0.00422,0,0.0019604,0.0019604,0.0019604
5,200.79,0.68149,0.54866,0.26439,0.00281,0.18485,0.99081,0.99046,0.99372,0.86755,0.99081,0.99046,0.99372,0.89795,0.56099,0.46205,0.1899,0.00358,0,0.0019472,0.0019472,0.0019472
6,249.692,0.57906,0.5223,0.25039,0.00219,0.16381,0.95255,0.96186,0.98814,0.86097,0.95255,0.96186,0.98822,0.84492,0.59233,0.77164,0.27988,0.0041,0,0.001934,0.001934,0.001934
7,297.614,0.59661,0.51032,0.22831,0.00225,0.1406,0.99403,0.99232,0.99411,0.91428,0.99403,0.99232,0.99411,0.91835,0.40672,0.44183,0.14229,0.0026,0,0.0019208,0.0019208,0.0019208
8,346.51,0.55989,0.47965,0.21117,0.00198,0.12727,0.99287,0.98808,0.99382,0.89673,0.99287,0.98808,0.99382,0.90622,0.47289,0.4727,0.16752,0.00314,0,0.0019076,0.0019076,0.0019076
9,391.336,0.52561,0.47732,0.20269,0.00199,0.17304,0.99169,0.99642,0.99417,0.9135,0.99169,0.99642,0.99417,0.90978,0.4214,0.44775,0.15456,0.00262,0,0.0018944,0.0018944,0.0018944
10,439.724,0.4988,0.47263,0.19438,0.00195,0.14389,0.99691,0.99642,0.99433,0.91943,0.99691,0.99642,0.99433,0.91288,0.38413,0.43699,0.13199,0.00237,0,0.0018812,0.0018812,0.0018812
