epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,731.544,0.45213,0.41156,0.16726,0.0016,0.11252,0.98694,0.99052,0.99367,0.92651,0.98694,0.99052,0.99367,0.898,0.36619,0.40649,0.12752,0.00227,0,0.0017327,0.0017327,0.0017327
29,763.654,0.46229,0.40286,0.16842,0.00171,0.11106,0.98957,0.99166,0.99395,0.93555,0.98957,0.99166,0.99395,0.89915,0.34911,0.40344,0.12287,0.00211,0,0.0017228,0.0017228,0.0017228
30,796.309,0.48735,0.42724,0.1861,0.00164,0.11727,0.98584,0.99607,0.99451,0.93206,0.98584,0.99607,0.99451,0.89745,0.36158,0.39764,0.12462,0.00221,0,0.0017129,0.0017129,0.0017129
31,829.444,0.43763,0.43074,0.15388,0.00155,0.12135,0.99059,0.99285,0.99391,0.93981,0.99059,0.99285,0.99391,0.90354,0.35378,nan,nan,0.00209,0,0.001703,0.001703,0.001703
32,861.285,0.46688,0.43735,0.16841,0.00159,0.11867,0.9905,0.99366,0.99441,0.92161,0.9905,0.99366,0.99441,0.89765,nan,nan,nan,nan,0,0.0016931,0.0016931,0.0016931
33,893.916,0.46616,0.41001,0.173,0.00159,0.11397,0.9893,0.99178,0.99463,0.94101,0.9893,0.99178,0.99463,0.90616,0.3443,0.40577,0.12913,0.0021,0,0.0016832,0.0016832,0.0016832
34,927.191,0.46481,0.42862,0.17159,0.00156,0.11317,0.98982,0.99285,0.99413,0.93915,0.98982,0.99285,0.99413,0.91075,0.3375,0.39157,0.1182,0.00205,0,0.0016733,0.0016733,0.0016733
35,963.091,0.44674,0.41911,0.17014,0.00158,0.12329,0.99386,0.99404,0.99387,0.92824,0.99386,0.99404,0.99387,0.88852,0.36469,0.4081,0.12187,0.00216,0,0.0016634,0.0016634,0.0016634
36,996,0.43286,0.4129,0.16043,0.00153,0.12241,0.98585,0.99626,0.99388,0.9494,0.98585,0.99626,0.99388,0.90737,0.32031,0.39285,0.12374,0.00192,0,0.0016535,0.0016535,0.0016535
37,1031.25,0.45545,0.4176,0.16762,0.00156,0.10878,0.99257,0.99285,0.99463,0.93241,0.99257,0.99285,0.99463,0.90202,0.35522,0.38939,0.12004,0.0022,0,0.0016436,0.0016436,0.0016436
38,1064.09,0.46852,0.41108,0.16011,0.00164,0.11359,0.99284,0.99144,0.99446,0.9325,0.99284,0.99144,0.99446,0.9067,0.35453,0.39285,0.12211,0.0022,0,0.0016337,0.0016337,0.0016337
39,1099.55,0.44022,0.41207,0.15811,0.00158,0.10853,0.99854,0.98927,0.99453,0.93366,0.99854,0.98927,0.99453,0.90005,0.35742,0.39299,0.11603,0.00215,0,0.0016238,0.0016238,0.0016238
40,1132.39,0.45549,0.41109,0.16985,0.00155,0.1105,0.99048,0.99248,0.99445,0.94852,0.99048,0.99248,0.99445,0.90907,0.32092,0.39926,0.11322,0.00192,0,0.0016139,0.0016139,0.0016139
41,1165.04,0.43975,0.40819,0.15956,0.00156,0.11828,0.99851,0.98808,0.9947,0.93023,0.99851,0.98808,0.9947,0.89566,0.3661,0.40018,0.12196,0.0022,0,0.001604,0.001604,0.001604
42,1199.15,0.44022,0.38849,0.15857,0.00155,0.10952,0.99582,0.99523,0.99437,0.94308,0.99582,0.99523,0.99437,0.9054,nan,nan,nan,nan,0,0.0015941,0.0015941,0.0015941
43,1232.26,0.42779,0.41211,0.15405,0.0015,0.1128,0.99287,0.99544,0.99404,0.9282,0.99287,0.99544,0.99404,0.89983,0.36921,nan,nan,0.00221,0,0.0015842,0.0015842,0.0015842
44,1264.8,0.45629,0.40024,0.1636,0.00157,0.11702,0.98576,0.99018,0.99367,0.94068,0.98576,0.99018,0.99367,0.8993,0.33207,nan,nan,0.00199,0,0.0015743,0.0015743,0.0015743
45,1299.76,0.44934,0.41889,0.1575,0.00151,0.11474,0.99391,0.99881,0.99467,0.94564,0.99391,0.99881,0.99467,0.91168,0.33656,0.38796,0.1145,0.00202,0,0.0015644,0.0015644,0.0015644
46,1331.78,0.4258,0.39678,0.1542,0.00143,0.10486,0.99401,0.98891,0.99462,0.94965,0.99401,0.98891,0.99462,0.91049,0.31775,0.3806,0.11088,0.00191,0,0.0015545,0.0015545,0.0015545
47,1366.4,0.4265,0.43118,0.14948,0.00148,0.11379,0.99761,0.9934,0.99446,0.94542,0.99761,0.9934,0.99446,0.90458,0.32996,0.39263,0.10994,0.00195,0,0.0015446,0.0015446,0.0015446
48,1398.98,0.42486,0.4109,0.14861,0.00139,0.10496,0.99162,0.99762,0.99463,0.95194,0.99162,0.99762,0.99463,0.91392,0.30874,0.38364,0.10644,0.00186,0,0.0015347,0.0015347,0.0015347
49,1430.11,0.41239,0.40775,0.14755,0.00141,0.11463,0.99641,0.9917,0.99411,0.92846,0.99641,0.9917,0.99411,0.88869,0.36343,0.39524,0.11974,0.00219,0,0.0015248,0.0015248,0.0015248
50,1463.46,0.43135,0.40542,0.16104,0.00144,0.11142,0.99143,0.99762,0.99447,0.954,0.99143,0.99762,0.99447,0.90446,0.3085,0.38926,0.10623,0.00185,0,0.0015149,0.0015149,0.0015149
51,1498.88,0.42183,0.42084,0.14918,0.00146,0.11037,0.99021,0.99762,0.99415,0.92444,0.99021,0.99762,0.99415,0.90957,0.37163,0.39962,0.12167,0.00225,0,0.001505,0.001505,0.001505
52,1530.94,0.42656,0.40089,0.15287,0.00142,0.10064,0.99855,0.99881,0.99464,0.93687,0.99855,0.99881,0.99464,0.90678,0.34959,0.39036,0.10931,0.00208,0,0.0014951,0.0014951,0.0014951
53,1563.24,0.40758,0.40443,0.14777,0.00144,0.11006,0.99524,0.99687,0.99417,0.94697,0.99524,0.99687,0.99417,0.90345,0.33524,0.38939,0.10886,0.00199,0,0.0014852,0.0014852,0.0014852
54,1595.91,0.43215,0.41051,0.15456,0.00143,0.11787,0.99284,0.9923,0.99397,0.94028,0.99284,0.9923,0.99397,0.90738,0.33271,0.38393,0.11398,0.00201,0,0.0014753,0.0014753,0.0014753
55,1630.45,0.42827,0.40098,0.15659,0.00144,0.11085,0.99632,0.99642,0.99441,0.95252,0.99632,0.99642,0.99441,0.90286,0.31751,nan,nan,0.00189,0,0.0014654,0.0014654,0.0014654
56,1660.94,0.42171,0.41747,0.14987,0.00144,0.11051,0.98934,0.99589,0.99387,0.93777,0.98934,0.99589,0.99387,0.90927,0.34064,0.38824,0.11974,0.00211,0,0.0014555,0.0014555,0.0014555
